ID_Petani,Desa,Kelompok_Tani,Komoditas,Luas_Tanah_m2,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_ha,Urea_MT1_per_ha,Urea_MT2_per_ha,Urea_MT3_per_ha,NPK_MT1_per_ha,NPK_MT2_per_ha,NPK_MT3_per_ha,Organik_MT1_per_ha,Organik_MT2_per_ha,Organik_MT3_per_ha,Total_MT1,Total_MT2,Total_MT3,prop_Urea_MT1,prop_NPK_MT1,prop_Organik_MT1,prop_Urea_MT2,prop_NPK_MT2,prop_Organik_MT2,prop_Urea_MT3,prop_NPK_MT3,prop_Organik_MT3,delta_Urea_MT2_MT1,delta_Urea_MT3_MT2,delta_NPK_MT2_MT1,delta_NPK_MT3_MT2,delta_Organik_MT2_MT1,delta_Organik_MT3_MT2,Urea_avg,Urea_std,NPK_avg,NPK_std,Organik_avg,Organik_std,zscore_Urea_MT1,zscore_Urea_MT2,zscore_Urea_MT3,zscore_NPK_MT1,zscore_NPK_MT2,zscore_NPK_MT3,zscore_Organik_MT1,zscore_Organik_MT2,zscore_Organik_MT3,IQR_Label_MT1,IQR_Bounds_MT1,IQR_Label_MT2,IQR_Bounds_MT2,IQR_Label_MT3,IQR_Bounds_MT3,dev_Urea_MT1,dev_pct_Urea_MT1,dev_NPK_MT1,dev_pct_NPK_MT1,dev_Organik_MT1,dev_pct_Organik_MT1,dev_Urea_MT2,dev_pct_Urea_MT2,dev_NPK_MT2,dev_pct_NPK_MT2,dev_Organik_MT2,dev_pct_Organik_MT2,dev_Urea_MT3,dev_pct_Urea_MT3,dev_NPK_MT3,dev_pct_NPK_MT3,dev_Organik_MT3,dev_pct_Organik_MT3,Total_Pupuk_Semua_MT,Total_Pupuk_per_ha,Anomaly_Prediction,Anomaly_Label,Anomaly_Score,Anomaly_Severity,Cluster,Cluster_Label,Rekomendasi,Detail_Analisis,Prioritas
P011,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,2000,60.0,84.0,0.0,125.0,175.0,125.0,50.0,70.0,0.0,0.2,300.0,625.0,250.0,420.0,875.0,350.0,0.0,625.0,0.0,144.0,425.0,120.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-75.0,91.0,-105.0,125.0,-125.0,78.33333333333333,40.72263907623539,109.66666666666667,57.01169470672954,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-1.9608852900055231,-0.09640370030838333,0.21562612551301794,-1.9611198737184854,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-60.0,-105.0,-60.0,0.0,0.0,389.0,1945.0,1,Normal,0.2937846513968103,Normal,0,Cluster 0,MT3: Urea terlalu rendah (50.0 kg vs standar 125.0 kg); NPK terlalu rendah (70.0 kg vs standar 175.0 kg) | Intensitas pupuk sangat tinggi - pertimbangkan efisiensi,Normal,Sedang
P012,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,2400,60.0,84.0,0.0,125.0,175.0,125.0,60.0,84.0,0.0,0.24,250.0,520.8333333333334,250.0,350.0,729.1666666666667,350.0,0.0,520.8333333333334,0.0,144.0,425.0,144.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-65.0,91.0,-91.0,125.0,-125.0,81.66666666666667,37.52776749732568,114.33333333333333,52.53887449625594,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-1.6918652083163321,-0.09640370030838333,0.21562612551301794,-1.692075375193263,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,-52.0,-91.0,-52.0,0.0,0.0,453.0,1887.5,1,Normal,0.27077248562501366,Normal,0,Cluster 0,MT3: Urea terlalu rendah (60.0 kg vs standar 125.0 kg); NPK terlalu rendah (84.0 kg vs standar 175.0 kg) | Intensitas pupuk sangat tinggi - pertimbangkan efisiensi,Normal,Sedang
P013,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,2000,60.0,84.0,0.0,125.0,175.0,125.0,50.0,70.0,0.0,0.2,300.0,625.0,250.0,420.0,875.0,350.0,0.0,625.0,0.0,144.0,425.0,120.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-75.0,91.0,-105.0,125.0,-125.0,78.33333333333333,40.72263907623539,109.66666666666667,57.01169470672954,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-1.9608852900055231,-0.09640370030838333,0.21562612551301794,-1.9611198737184854,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-60.0,-105.0,-60.0,0.0,0.0,389.0,1945.0,1,Normal,0.2937846513968103,Normal,0,Cluster 0,MT3: Urea terlalu rendah (50.0 kg vs standar 125.0 kg); NPK terlalu rendah (70.0 kg vs standar 175.0 kg) | Intensitas pupuk sangat tinggi - pertimbangkan efisiensi,Normal,Sedang
P014,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,5000,60.0,84.0,0.0,125.0,175.0,125.0,125.0,175.0,0.0,0.5,120.0,250.0,250.0,168.0,350.0,350.0,0.0,250.0,0.0,144.0,425.0,300.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,0.0,91.0,0.0,125.0,-125.0,103.33333333333333,37.52776749732568,144.66666666666666,52.53887449625594,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,0.05676532266340907,-0.09640370030838333,0.21562612551301794,0.056713865220682357,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Normal,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.0,1738.0,1,Normal,0.0,Normal,1,Cluster 1,Intensitas pupuk sangat tinggi - pertimbangkan efisiensi,Normal,Sedang
P015,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,2800,60.0,84.0,0.0,125.0,175.0,125.0,70.0,98.0,0.0,0.28,214.28571428571428,446.4285714285714,249.99999999999997,299.99999999999994,624.9999999999999,349.99999999999994,0.0,446.4285714285714,0.0,144.0,425.0,168.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-55.0,91.0,-77.0,125.0,-125.0,85.0,35.0,119.0,49.0,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-1.4228451266271414,-0.09640370030838333,0.21562612551301794,-1.4230308766680406,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,-44.0,-77.0,-44.0,0.0,0.0,517.0,1846.4285714285713,1,Normal,0.2589447073713439,Normal,0,Cluster 0,MT3: Urea terlalu rendah (70.0 kg vs standar 125.0 kg); NPK terlalu rendah (98.0 kg vs standar 175.0 kg) | Intensitas pupuk sangat tinggi - pertimbangkan efisiensi,Normal,Sedang
P016,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,4800,60.0,84.0,0.0,125.0,175.0,125.0,120.0,168.0,0.0,0.48,125.0,260.4166666666667,250.0,175.0,364.58333333333337,350.0,0.0,260.4166666666667,0.0,144.0,425.0,288.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-5.0,91.0,-7.0,125.0,-125.0,101.66666666666667,36.17089069035117,142.33333333333334,50.63924696649164,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-0.07774471818118642,-0.09640370030838333,0.21562612551301794,-0.07780838404192882,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-4.0,-7.0,-4.0,0.0,0.0,837.0,1743.75,1,Normal,0.04404211860829921,Normal,1,Cluster 1,Intensitas pupuk sangat tinggi - pertimbangkan efisiensi,Normal,Sedang
P017,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,3200,60.0,84.0,0.0,125.0,175.0,125.0,80.0,112.0,0.0,0.32,187.5,390.625,250.0,262.5,546.875,350.0,0.0,390.625,0.0,144.0,425.0,192.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-45.0,91.0,-63.0,125.0,-125.0,88.33333333333333,33.291640592396966,123.66666666666667,46.608296829355744,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-1.1538250449379504,-0.09640370030838333,0.21562612551301794,-1.1539863781428183,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,-36.0,-63.0,-36.0,0.0,0.0,581.0,1815.625,1,Normal,0.21086121675679315,Normal,1,Cluster 1,MT3: Urea terlalu rendah (80.0 kg vs standar 125.0 kg); NPK terlalu rendah (112.0 kg vs standar 175.0 kg) | Intensitas pupuk sangat tinggi - pertimbangkan efisiensi,Normal,Sedang
P018,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,6800,60.0,84.0,0.0,125.0,175.0,125.0,170.0,238.0,0.0,0.68,88.23529411764706,183.8235294117647,249.99999999999997,123.52941176470587,257.35294117647055,350.0,0.0,183.8235294117647,0.0,144.0,425.0,408.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,45.0,91.0,63.0,125.0,-125.0,118.33333333333333,55.30220007679019,165.66666666666666,77.42308010750627,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,1.2673556902647685,-0.09640370030838333,0.21562612551301794,1.267414108584183,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Over,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,36.0,63.0,36.0,0.0,0.0,1157.0,1701.470588235294,1,Normal,0.2590260877431584,Normal,1,Cluster 1,MT3: Urea terlalu tinggi (170.0 kg vs standar 125.0 kg); NPK terlalu tinggi (238.0 kg vs standar 175.0 kg) | Intensitas pupuk sangat tinggi - pertimbangkan efisiensi,Normal,Sedang
P019,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,4000,60.0,84.0,0.0,125.0,175.0,125.0,100.0,140.0,0.0,0.4,150.0,312.5,250.0,210.0,437.5,350.0,0.0,312.5,0.0,144.0,425.0,240.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-25.0,91.0,-35.0,125.0,-125.0,95.0,32.78719262151,133.0,45.902069670114,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-0.6157848815595683,-0.09640370030838333,0.21562612551301794,-0.6158973810923736,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-20.0,-35.0,-20.0,0.0,0.0,709.0,1772.5,1,Normal,0.14047670768740883,Normal,1,Cluster 1,Intensitas pupuk sangat tinggi - pertimbangkan efisiensi,Normal,Sedang
P020,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,7200,60.0,84.0,0.0,60.0,84.0,125.0,60.0,84.0,0.0,0.72,83.33333333333334,83.33333333333334,83.33333333333334,116.66666666666667,116.66666666666667,116.66666666666667,0.0,173.61111111111111,0.0,144.0,269.0,144.0,0.4166666666666667,0.5833333333333334,0.0,0.22304832713754646,0.31226765799256506,0.4646840148698885,0.4166666666666667,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,125.0,-125.0,60.0,0.0,84.0,0.0,41.666666666666664,72.16878364870323,-0.09784549995733421,-0.8943567664629136,-1.6918652083163321,-0.09640370030838333,-0.929521851051097,-1.692075375193263,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,-65.0,-52.0,-91.0,-52.0,0.0,0.0,-65.0,-52.0,-91.0,-52.0,0.0,0.0,37.0,51.38888888888889,1,Normal,0.4287055446510959,Anomali Ringan,1,Cluster 1,Periksa kembali data input pupuk | MT2: Urea terlalu rendah (60.0 kg vs standar 125.0 kg); NPK terlalu rendah (84.0 kg vs standar 175.0 kg) | MT3: Urea terlalu rendah (60.0 kg vs standar 125.0 kg); NPK terlalu rendah (84.0 kg vs standar 175.0 kg) | Intensitas pupuk rendah - pastikan kebutuhan nutrisi terpenuhi,Skor anomali: 0.43,Sedang
